歌名,歌手,曲风,推荐标签,语种,BPM,乐评
Ghost Funktion,TLi-synth、,爵士、,慵懒、放松、酒吧、,纯音乐,92,
heartfelt fancy,佐藤ライア、,二次元-同人作品、,快乐、放松、,纯音乐,136,
aerial crossover(渡る者の途絶えた桥),Fino、,二次元-同人作品、,动感、梦幻、放松、,纯音乐,124,
White ruin infinite,FELT、,二次元-同人作品、,悲伤、梦幻、放松、冥想、,纯音乐,130,
POP | CULTURE 9,Masayoshi Minoshima、,二次元-同人作品、,放松、冥想、,纯音乐,,
endless repeat,MK (JPN)、,二次元-同人作品、,动感、快乐、活力、,纯音乐,,
You're a flame in my heart,ZestnicK、,二次元-同人作品、,,日语,,
Voyage of moonlight night,Maji、,二次元、,,纯音乐,,
indefinitely (instrumental),Amateras Records、,二次元-同人作品、,动感、活力、,纯音乐,,
CONTROVERSY,発熱巫女~ず、,二次元-東方Project、,动感、悲伤、抑郁、,纯音乐,,
イタズラものたちの行進,ジャージと愉快な仲間たち、,二次元-同人作品、,清新、放松、,纯音乐,62,
Paranoid Lost,Halozy、,二次元-同人作品、,热血、动感、快乐、轻快、,纯音乐,175,
さあさあつまれ,WhiTECHNO、,二次元-東方Project、,梦幻、可爱、快乐、放松、,纯音乐,,
童祭 ～ Innocent Treasures,上海アリス幻樂団、,二次元-東方Project、,梦幻、可爱、快乐、放松、,纯音乐,76,
STELLAR,魂音泉、,二次元-東方Project、,动感、,纯音乐,129,
最凶最悪の華言葉,ちぇあ、,二次元、,热血、动感、梦幻、可爱、快乐、放松、,纯音乐,89,
Intro ~EXP~,TINY PLANETS、,二次元-東方Project、,冥想、,纯音乐,169,
Flame of Nuclear,Maritumix、,电子、,热血、动感、活力、,纯音乐,84,
Artificial Life,Maritumix、,电子、,动感、活力、放松、,纯音乐,,
SNOW PRINT/天空の花の都,N-tone、,二次元-同人作品、,放松、,纯音乐,114,
「廻る幻想郷」,Liz Triangle、ごりら公園、東方保育所、,二次元-東方Project、,热血、抒情、动感、梦幻、放松、,纯音乐,,
