歌名,歌手,曲风,推荐标签,语种,BPM,乐评
默（0.8×）,XXXDAION、,,,,,
再等冬天(Memories),h3R3、,嘻哈说唱-流行说唱、嘻哈说唱-情绪说唱、,抒情、动感、悲伤、爱情、思念、活力、孤独、酒吧、遗憾、,国语,120,
多远都要在一起,G.E.M.邓紫棋、,流行-华语流行、,甜蜜、抒情、动感、幸福、悲伤、抑郁、快乐、爱情、思念、浪漫、放松、憧憬、孤独、酒吧、轻快、洒脱、正能量、感人、,国语,135,
兄妹,刘大拿、,流行-华语流行、,抒情、悲伤、,国语,69,
再见莫妮卡,彭席彦、Franky弗兰奇、,流行-华语流行、嘻哈说唱、,甜蜜、抒情、动感、悲伤、快乐、爱情、思念、活力、憧憬、孤独、酒吧、轻快、有氧、家务、,国语,84,
满舒克/jony j - lost （instrumental） 扒带作品,DBRT、,,抒情、思念、放松、,纯音乐,67,
溯 (Reverse),CORSAK胡梦周、马吟吟、,电子-电子流行、电子-未来贝斯、,抒情、动感、悲伤、思念、放松、治愈、,国语,139,
先说谎的人,h3R3、,嘻哈说唱-融合说唱、,抒情、悲伤、爱情、思念、憧憬、孤独、正直、洒脱、,国语,118,
不将就,李荣浩、,原声带-电影原声、流行-华语流行、,抒情、,国语,72,
最后一首情歌,苏琛、,流行-华语流行、,抒情、动感、悲伤、快乐、爱情、思念、苦情、孤独、,国语,70,
最后一页（完整版）,洛尘鞅_、,流行-华语流行、,抒情、悲伤、爱情、思念、苦情、遗憾、,国语,69,
苦茶子,Starling8、MoreLearn 27、FIVESTAR、,嘻哈说唱-流行说唱、嘻哈说唱-旋律说唱、,抒情、快乐、,国语,137,
都不懂,step.jad依加、,节奏布鲁斯-嘻哈灵魂乐、嘻哈说唱-情绪说唱、,抒情、动感、悲伤、爱情、慵懒、浪漫、苦情、放松、孤独、,国语,57,
追寻你,王天戈、川青、,流行-华语流行、,甜蜜、抒情、爱情、放松、有氧、家务、,国语,73,
忘不掉的你（钢琴版）,h3R3、,流行-华语流行、,抒情、悲伤、爱情、思念、苦情、孤独、,国语,85,
再次爱上你,阿里郎、,流行-华语流行、,抒情、动感、悲伤、爱情、思念、,国语,56,
Letting Go,蔡健雅、,流行-华语流行、,甜蜜、抒情、动感、幸福、悲伤、平静、梦幻、抑郁、快乐、爱情、思念、慵懒、浪漫、苦情、放松、憧憬、治愈、孤独、KTV、酒吧、轻快、洒脱、遗憾、感人、,国语,67,
水星记,郭顶、,流行-华语流行、,抒情、动感、紧张、悲伤、平静、梦幻、抑郁、快乐、爱情、思念、慵懒、浪漫、苦情、放松、憧憬、治愈、孤独、洒脱、正能量、遗憾、感人、,国语,66,
trust me,sunkis 宋秉勤、,节奏布鲁斯-当代节奏布鲁斯、流行-华语流行、,抒情、清新、平静、快乐、爱情、思念、慵懒、浪漫、放松、憧憬、治愈、轻快、感人、,国语,64,
戒不掉（原声版）,欧阳耀莹、,流行-粤语流行、,悲伤、孤独、,粤语,71,
匿名的好友,小包Zerinn、,流行-华语流行、,抒情、悲伤、爱情、思念、放松、,国语,64,
过,王嘉尔、林俊杰、,流行-华语流行、,抒情、悲伤、爱情、思念、浪漫、苦情、放松、,国语,64,
不说,周公、,流行-华语流行、,抒情、清新、动感、悲伤、爱情、浪漫、放松、憧憬、治愈、孤独、,国语,80,
忘不掉的你,h3R3、,嘻哈说唱-旋律说唱、,抒情、动感、幸福、悲伤、抑郁、快乐、爱情、思念、慵懒、浪漫、苦情、活力、放松、憧憬、治愈、孤独、轻快、洒脱、遗憾、,国语,184,
爱的回归线,陈韵若、陈每文、,原声带-电视剧原声、流行-华语流行、,学习、,国语,133,
一样的月光,徐佳莹、,流行-华语流行、,抒情、,国语,68,
模特,李荣浩、,流行-华语流行、,抒情、悲伤、抑郁、爱情、思念、苦情、孤独、遗憾、感人、,国语,65,
保留,郭顶、,流行-华语流行、,抒情、悲伤、抑郁、学习、,华语,65,
给我一个理由忘记,黄丽玲、,流行-华语流行、,抒情、,国语,66,
我看过,周星星、,流行-华语流行、,抒情、悲伤、爱情、思念、浪漫、苦情、KTV、,国语,61,
新地球,林俊杰、,摇滚-流行摇滚、流行、,抒情、动感、紧张、快乐、爱情、放松、憧憬、正能量、,国语,120,
年轮说,杨丞琳、,流行-华语流行、,抒情、,国语,73,
带我去找夜生活,告五人、,摇滚-流行摇滚、,热血、抒情、清新、悲伤、快乐、爱情、浪漫、放松、治愈、孤独、轻快、洒脱、正能量、,国语,128,
幸福了 然后呢,黄丽玲、,流行-华语流行、,抒情、,国语,94,
哪里都是你,队长、,流行-华语流行、嘻哈说唱、,抒情、动感、悲伤、抑郁、快乐、爱情、思念、苦情、放松、憧憬、治愈、孤独、轻快、遗憾、感人、,国语,65,
我怀念的 (Live),林俊杰、,原声带-综艺原声、流行-华语流行、,抒情、悲伤、抑郁、爱情、思念、浪漫、苦情、孤独、酒吧、洒脱、遗憾、,国语,68,
学不会,林俊杰、,流行-华语流行、,抒情、悲伤、,国语,62,
11,队长、黄礼格、,嘻哈说唱-流行说唱、,甜蜜、抒情、动感、幸福、悲伤、快乐、爱情、思念、慵懒、浪漫、苦情、放松、憧憬、治愈、孤独、遗憾、感人、,国语,73,
予你,队长、,流行-华语流行、,甜蜜、热血、抒情、清新、动感、幸福、紧张、悲伤、平静、梦幻、抑郁、快乐、爱情、思念、慵懒、浪漫、苦情、放松、憧憬、治愈、神秘、学习、正直、轻快、黑暗、烦躁、洒脱、正能量、激烈、大气、友情、遗憾、感人、惊悚、,国语,65,
葡萄成熟时,陈奕迅、,流行-粤语流行、,抒情、,粤语,125,
如果呢,郑润泽、,流行-华语流行、,甜蜜、抒情、清新、动感、幸福、紧张、悲伤、平静、梦幻、抑郁、快乐、爱情、思念、慵懒、浪漫、苦情、放松、憧憬、治愈、孤独、轻快、洒脱、遗憾、感人、,国语,62,
大眠 (完整版),小乐哥（王唯乐）、,流行-华语流行、,抒情、悲伤、思念、,国语,60,
读自,刘思鉴、,嘻哈说唱-流行说唱、嘻哈说唱-中文嘻哈、,抒情、动感、紧张、悲伤、梦幻、爱情、思念、浪漫、苦情、活力、放松、孤独、神秘、洒脱、遗憾、,国语,111,
无感,王朝、,嘻哈说唱-说唱伴奏、,动感、悲伤、放松、治愈、,纯音乐,124,
太多的爱（too much）,kinkis、,嘻哈说唱-中文嘻哈、,甜蜜、热血、抒情、动感、快乐、爱情、思念、浪漫、学习、酒吧、,国语,124,
洛杉矶,LBI利比、,流行-华语流行、嘻哈说唱、,甜蜜、抒情、动感、快乐、爱情、思念、浪漫、活力、酒吧、旅游、轻快、有氧、驾车、家务、,国语,75,
艺术家,MaySeventeen、,嘻哈说唱-中文嘻哈、,动感、悲伤、爱情、浪漫、,国语,85,
寂寞先生,马英伦、,嘻哈说唱-中文嘻哈、,抒情、悲伤、爱情、思念、孤独、,国语,134,
