歌名,歌手,曲风,推荐标签,语种,BPM,乐评
Averío De Ti,Carolina Sarta、Lucio Feuillet、,,,西班牙语,103,
I'll make it better,Naji、,节奏布鲁斯-灵魂乐、,梦幻、放松、动感、,英语,103,
Self-Contained,DWY、,节奏布鲁斯-灵魂乐、流行、,,英语,,
Hoboken,Franklin Jonas、,另类/独立、,放松、,英语,87,
Sunflower,Tamino、Angèle、,流行、,抒情、悲伤、,英语,115,
Fool 4 U,Yuna、,节奏布鲁斯-新灵魂乐、流行、,动感、慵懒、活力、放松、咖啡厅、,英语,75,
Role Model,Lucy Park、,节奏布鲁斯、,慵懒、放松、,英语,136,
Heart Break Escape,Liv.e、,节奏布鲁斯-灵魂乐、,动感、放松、,英语,155,
PPL,DRAM、BJ The Chicago Kid、,节奏布鲁斯-灵魂乐、,浪漫、爱情、放松、动感、,英语,132,
Slowing Down,The Backseat Lovers、,另类/独立、,放松、,英语,113,
Blackphemy,Yb.、,摇滚-独立摇滚、民谣、,动感、慵懒、放松、,英语,80,
Chaos Calls,mindfreakkk、,流行、,动感、放松、,英语,138,
Open My Door,Alice Phoebe Lou、,另类/独立、,慵懒、放松、,英语,72,
Bumblebee,Dora Jar、,另类/独立、,快乐、动感、清新、放松、,英语,121,
Slowdiving,Duñe、Crayon、Lossapardo、,节奏布鲁斯-另类节奏布鲁斯、,动感、活力、放松、,英语,120,
letting you go (demo),CLAY、,流行、,慵懒、放松、,英语,132,
Tres Hermanos,Hermanos Gutierrez、Dan Auerbach、,世界音乐、,动感、放松、,纯音乐,95,
in ur motion,LOU VAL、,节奏布鲁斯、,梦幻、放松、慵懒、爱情、,英语,83,
Tides,Bonobo、Jamila Woods、,电子、,悲伤、慵懒、放松、,英语,63,
Sunset For The Dead,Tommy Newport、,摇滚-独立摇滚、,动感、放松、,英语,160,
Burning Hour,Jadu Heart、,摇滚-另类摇滚、,动感、放松、冥想、酒吧、,英语,,
Apocalypse,Cigarettes After Sex、,摇滚-梦幻流行、,抒情、梦幻、爱情、慵懒、浪漫、放松、旅游、,英语,94,
Veins,Palace、,摇滚-另类摇滚、,抒情、爱情、慵懒、浪漫、放松、散步、,英语,69,
Enjoyer,Teenage Priest、,摇滚-独立摇滚、另类/独立-独立流行、,抒情、梦幻、放松、,英语,109,
Orange Blood,Mt. Joy、,摇滚、,动感、慵懒、放松、,英语,120,
Aftershook,Frankie Cosmos、,另类/独立、,放松、,英语,95,
Ole & Gard,Pat Metheny、,爵士、,放松、,纯音乐,128,
Come What May,Joshua Redman Quartet、,爵士、,孤独、悲伤、放松、,,125,
Another Land,Dave Holland、,爵士-当代爵士、,抒情、放松、,英语,,
"Here, There and Everywhere",George Shearing、,爵士、,放松、,纯音乐,,
After You've Gone,Eddie Henderson、,爵士、,爱情、慵懒、浪漫、放松、咖啡厅、,英语,,
Peace,Steve Davis、,爵士、,悲伤、爱情、慵懒、浪漫、放松、孤独、咖啡厅、,英语,,
Dave,Orrin Evans、,爵士、,放松、,英语,,
Why Did I Choose You,Houston Person、,爵士-比波普、爵士-硬波普、,放松、,,124,
Nocturne in F Minor,Jive Ass Sleepers、,爵士、,咖啡厅、慵懒、放松、,英语,,
Kin,Bill Laurance、Michael League、,爵士、,咖啡厅、放松、平静、抒情、,纯音乐,131,
More Than Shell Ever Know,Jive Ass Sleepers、,爵士、,爱情、慵懒、浪漫、放松、咖啡厅、,纯音乐,,
Joe's Blues,Joe Pass、,爵士-比波普、,悲伤、孤独、,纯音乐,84,
A New Point of View,Bossa Nova、,爵士-巴萨诺瓦、,爱情、慵懒、浪漫、放松、咖啡厅、,纯音乐,88,
CAPE LIGHT,THE SQUARE Reunion、T-SQUARE、,爵士-融合爵士、,抒情、动感、爱情、浪漫、KTV、,纯音乐,105,
Darn That Dream,Cyrus Chestnut、,爵士-比波普、,悲伤、放松、孤独、酒吧、,,,
No More Tears,Buena Vista Cuban Players、,爵士、,慵懒、放松、,华语,61,
Pure Imagination,Richard Baratta、,爵士-比波普、爵士-硬波普、,放松、,,122,
When We Meet Halfway,Armel Dupas Trio、,爵士、,放松、,纯音乐,,
Twelve for J.,Caris Hermes、,爵士、,悲伤、放松、孤独、,英语,120,
I Can't Escape from You,Jeremy Pelt、,爵士-比波普、爵士-硬波普、,学习、慵懒、放松、浪漫、爱情、,,128,
Koral,Bugge Wesseltoft、,爵士、,平静、放松、,纯音乐,58,
Ev'rytime We Say Goodbye,Mark Sherman、,爵士-比波普、,放松、,英语,,
Ask Me Now,Teemu Viinikainen、,爵士、,咖啡厅、放松、,,117,
Draw Me Nearer,Joey Alexander、,爵士、,悲伤、放松、孤独、,英语,,
Everything Happens To Me,Erroll Garner、,爵士、,慵懒、放松、,英语,,
Yellow And Blue,Roz、,爵士、,动感、放松、咖啡厅、,纯音乐,131,
And So It Goes,Russell Malone、,爵士-比波普、,放松、学习、,,,
I'll Let You Know,Houston Person、,爵士-比波普、爵士-硬波普、,爱情、慵懒、浪漫、放松、咖啡厅、,,112,
Bossa Du Nord,Bossa Nova、,爵士-巴萨诺瓦、,抒情、爱情、思念、慵懒、浪漫、放松、,纯音乐,100,
When I Fell for You,David Hazeltine、,爵士、,孤独、悲伤、放松、,纯音乐,,
In This Moment,Emil Brandqvist Trio、,爵士、,悲伤、放松、孤独、,纯音乐,110,
My Mood Is You,Freddy Cole、,爵士-当代爵士、爵士-人声爵士、,慵懒、放松、,英语,,
'Round Midnight,Battista Lena、,爵士、,爱情、慵懒、浪漫、放松、咖啡厅、,纯音乐,,
Smoke Jacket Blues,TrackTribe、,爵士、,可爱、快乐、爱情、浪漫、放松、咖啡厅、,英语,,
Kerosene II,The Bad Plus、,爵士-当代爵士、,爱情、慵懒、浪漫、放松、咖啡厅、,英语,,
To Mr K.K.,Carl Bagge、,爵士-当代爵士、,抒情、动感、活力、放松、,,,
Lilac,Aaron Parks、,爵士、,悲伤、孤独、,英语,,
Prague's Ballet,Marius Neset、,爵士、,慵懒、放松、,,,
Am I Blue,Jiggs Whigham、,爵士、,慵懒、放松、咖啡厅、,纯音乐,,
Is There a Way,Joel Lyssarides、,爵士、,慵懒、放松、,纯音乐,,
Sunday Coffee,Richard Freeman、,爵士、,慵懒、放松、咖啡厅、,英语,,
Flotten,Tingvall Trio、,爵士、,放松、,纯音乐,,
Abeyance,Caris Hermes、,爵士、,爱情、慵懒、浪漫、放松、,英语,118,
Body and Soul,Freddie Hubbard、,爵士、,爱情、慵懒、浪漫、放松、咖啡厅、,英语,,
Ghost Song #6,Paul Jarret、Jim Black、,爵士、,,纯音乐,,
Captain’s Song,Connie Han、,爵士、,放松、,英语,,
The End,Tuomas Antero Turunen、,爵士-融合爵士、,平静、放松、冥想、,纯音乐,,
Koto Song,Dave Brubeck、Dave Brubeck Quartet、,爵士、,放松、慵懒、,英语,,
Reminiscence,Espen Eriksen Trio、,爵士-当代爵士、,悲伤、孤独、,英语,,
Ubemærket,Svaneborg Kardyb、,爵士-当代爵士、,冥想、放松、,,114,
Everybody Gets the Blues,Eric Reed、,爵士、,爱情、慵懒、浪漫、放松、咖啡厅、,英语,,
Another Kind of Blue,Nils Landgren、,爵士、,放松、慵懒、,英语,,
Blue Hour,Emil Brandqvist Trio、,爵士、,放松、咖啡厅、,纯音乐,119,
Moonlight in Vermont,Joe Farnsworth、,爵士、,放松、,英语,,
Be Someone,Roz、,爵士、,清新、放松、,纯音乐,141,
Alfie,Richard Baratta、,爵士-比波普、,爱情、慵懒、浪漫、放松、咖啡厅、,,,
Lost Souls,Donatas Petreikis、,爵士-硬波普、,咖啡厅、动感、慵懒、放松、,英语,110,
