歌名,歌手,曲风,推荐标签,语种,BPM,乐评
숨바꼭질,本月少女、,流行-韩国流行、,动感、活力、,韩语,130,
나도 너처럼,DREAMCATCHER、,流行-韩国流行、,悲伤、,韩语,89,
Popcorn,LIGHTSUM、,流行-韩国流行、流行-流行舞曲、,动感、快乐、活力、,韩语,122,
Maybe,(G)I-DLE、,流行-韩国流行、,动感、快乐、活力、,韩语,119,
Dun Dun Dance,OH MY GIRL、,流行-韩国流行、,甜蜜、动感、快乐、爱情、舞蹈、,韩语,114,
Confess To You,金艺林、,原声带-电视剧原声、,动感、可爱、快乐、,英语,101,
Keep Me Busy,Punch、,原声带-电视剧原声、,动感、活力、,韩语,152,
Done For Me,Punch、,流行-韩国流行、,放松、,韩语,68,
Go away go away,CHANYEOL、Punch、,原声带-电视剧原声、,幸福、快乐、,韩语,89,
Shooting Star,南优铉、,原声带-电视剧原声、,动感、,韩语,86,
We all lie,하진 (HAJIN)、,原声带-电视剧原声、,梦幻、放松、抒情、动感、,英语,96,
신비로운 걸,VROMANCE、,原声带、,幸福、快乐、思念、抒情、亲情、清新、洒脱、放松、动感、慵懒、治愈、浪漫、爱情、热血、激烈、轻快、甜蜜、,韩语,133,
존재만으로,Wonstein、,原声带-电视剧原声、流行-韩国流行、,抒情、动感、放松、,韩语,98,
"아주, 천천히",BIBI、,原声带-电视剧原声、流行-韩国流行、,抒情、悲伤、爱情、浪漫、KTV、,韩语,68,
너를 사랑하고 있어,BAEKHYUN、,原声带-电视剧原声、,抒情、悲伤、,韩语,61,
Love Me Like That,SAM KIM、,原声带-电视剧原声、,抒情、放松、,英语,88,
Dice Game,Yoari、,原声带-电视剧原声、,动感、放松、,英语,123,
구름,Rothy、,原声带、,可爱、快乐、动感、,韩语,86,
꿈꾼다,韩熙贞、,原声带、,清新、放松、,韩语,145,
Bite,D.O.、,原声带-电影原声、原声带-电视剧原声、,抒情、动感、活力、,韩语,69,
그대란 정원,郑恩地、,原声带、流行-韩国流行、,抒情、清新、悲伤、放松、孤独、KTV、,韩语,123,
그대라는 시,太妍、,流行-韩国流行、,抒情、放松、,韩语,68,
Heartbeat,Suran、,原声带、流行-韩国流行、,清新、放松、治愈、KTV、,韩语,110,
New Love,道英、在玹、,原声带-电视剧原声、,动感、活力、,韩语,52,
Fighter,河铉雨、,摇滚、原声带、,热血、动感、活力、,韩语,122,
아름다운 밤,N.Flying、,摇滚-韩国摇滚、原声带-电视剧原声、,热血、动感、,韩语,127,
말만 해,朴志训、,原声带-电视剧原声、,动感、活力、,韩语,98,
꿈처럼 내린,DAViCHi、,原声带、,抒情、悲伤、思念、,韩语,131,
악귀(惡鬼),Ali、,摇滚、金属、原声带-电视剧原声、,动感、悲伤、活力、孤独、激烈、,韩语,67,
오월의 겨울,金范秀、,原声带-电视剧原声、,抒情、悲伤、放松、治愈、,韩语,131,
죽어도 너야,V、Jin、,流行-韩国流行、,抒情、动感、快乐、爱情、活力、,韩语,94,
Butterfly,J.UNA、,原声带-电视剧原声、,酒吧、动感、放松、,韩语,125,
