歌名,歌手,曲风,推荐标签,语种,BPM,乐评
Jump,Van Halen、,金属-华丽金属、,热血、动感、快乐、活力、洒脱、,英语,129,
Take My Breath Away,Berlin、,电子-中速节奏、,,英语,95,
Play that Funky Music,Wild Cherry、,节奏布鲁斯-放克、,活力、动感、快乐、,英语,109,
Do You Remember,Phil Collins、The Tribute Beat、,流行-成⼈时代、,,英语,,
Divine Emotions,Narada Michael Walden、,流行、,,英语,,
Come Dancing,The Kinks、,摇滚、,热血、动感、快乐、KTV、,英语,153,
When You're in Love with a Beautiful Woman,Dr. Hook、,流行-成⼈时代、,动感、爱情、浪漫、放松、,英语,109,
Owner of a Lonely Heart,Yes、,原声带-动画片原声、,,,,
One More Time,Redbone、,摇滚-蓝调摇滚、,动感、快乐、活力、旅游、,英语,108,
Don't Forget to Dance,The Kinks、,摇滚、,抒情、爱情、浪漫、放松、,英语,98,
Little Lies,Fleetwood Mac、,电子-合成器流行、,快乐、放松、KTV、,英语,124,
Run To You,Bryan Adams、,摇滚、流行、,热血、动感、放松、,英语,128,
I Can't Stop,Bettye LaVette、,节奏布鲁斯-放克、,抒情、动感、爱情、活力、酒吧、,英语,113,
Can't Take My Eyes Off You,Boys Town Gang、,电子-迪斯科、,动感、可爱、快乐、KTV、,英语,130,
You Make My Dreams,Hall & Oates、,摇滚-软摇滚、原声带、流行-欧美流行、,清新、动感、快乐、放松、旅游、,英语,167,
"In My House (12"" Version)",Mary Jane Girls、,节奏布鲁斯、,热血、动感、爱情、浪漫、KTV、,英语,117,
Dance with Me,Peter Brown、Betty Wright、,节奏布鲁斯-放克、流行、,快乐、慵懒、放松、轻快、,英语,,
Rhythm Of The Night,DeBarge、,节奏布鲁斯、流行、,,英语,116,
Sisters Are Doin' It for Themselves,Eurythmics、Aretha Franklin、,节奏布鲁斯、朋克、,,英语,,
Celebration,Kool & the Gang、,节奏布鲁斯-放克、电子-迪斯科、,动感、快乐、活力、KTV、,英语,120,
I'm Coming Out,Diana Ross、,节奏布鲁斯、,,英语,,
Love's Theme,The Love Unlimited Orchestra、,节奏布鲁斯、流行、,,英语,,
I Want to Break Free,Queen、,摇滚-华丽摇滚、,热血、抒情、动感、放松、,英语,108,
Moskau,Dschinghis Khan、,电子-迪斯科、,甜蜜、热血、动感、快乐、爱情、搞笑、活力、婚礼、洒脱、正能量、激烈、,德语,131,
The Look,Roxette、,流行-欧美流行、,,英语,,
Wouldn't It Be Good,Nik Kershaw、,流行、,KTV、动感、,英语,99,
I Want to Know What Love Is,Foreigner、,流行、,抒情、动感、爱情、浪漫、放松、KTV、,英语,,
Wake Me Up Before You Go-Go,Wham!、,流行、,清新、动感、放松、,英语,81,
Ain't No Mountain High Enough,Marvin Gaye、Tammi Terrell、,原声带-电影原声、节奏布鲁斯-灵魂乐、,可爱、快乐、放松、KTV、,英语,129,
Wham Bam Shang-A-Lang,Silver、,摇滚-经典摇滚、原声带-电影原声、,抒情、快乐、放松、动感、,英语,122,
Give It Up,KC And The Sunshine Band、,流行-流行舞曲、,热血、动感、KTV、,英语,125,
Easy Lover,Philip Bailey、Phil Collins、,流行-成⼈时代、,热血、动感、旅游、,英语,129,
Everywhere,Fleetwood Mac、,摇滚、,快乐、爱情、浪漫、,英语,115,
Casablanca,Bertie Higgins、,流行、,抒情、放松、KTV、,英语,127,
I Will Survive - Single Version,Gloria Gaynor、,电子-迪斯科、,抒情、动感、爱情、浪漫、活力、,英语,115,
Never Gonna Give You Up,Rick Astley、,电子-迪斯科、,动感、快乐、爱情、浪漫、活力、放松、轻快、洒脱、正能量、,英语,113,
September,"Earth, Wind & Fire、",节奏布鲁斯-放克、,动感、爱情、活力、,英语,126,
More Than I Can Say,Leo Sayer、,流行-欧美流行、,热血、抒情、动感、快乐、慵懒、放松、KTV、酒吧、轻快、正能量、,英语,96,
Cha - Cha - Cha,Finzy Kontini、,电子、,动感、可爱、快乐、KTV、夜店、,英语,119,
Lambada (Original Radio Edit),Kaoma、,拉丁音乐-拉丁流行、,抒情、悲伤、爱情、浪漫、,葡萄牙语,59,
Tarzan Boy,Baltimora、,电子-迪斯科、,动感、活力、,英语,107,
Automatic,The Pointer Sisters、,原声带-游戏原声、电子、,动感、活力、,英语,111,
Still in Love,Rose Royce、,节奏布鲁斯、,,英语,,
I Need You,Sylvester、,节奏布鲁斯-放克、,,英语,,
There But For The Grace Of God Go I,machine、,节奏布鲁斯-放克、,快乐、轻快、,英语,,
Kayleigh,Marillion、,,,英语,,
Shake Your Groove Thing,Peaches、,爵士-摇摆乐、,,英语,,
Disco Inferno,The Trammps、,电子-迪斯科、,动感、快乐、爱情、浪漫、咖啡厅、,英语,130,
Everybody Dance,Chic、,电子-迪斯科、,动感、快乐、爱情、浪漫、KTV、,英语,,
Hungry Like The Wolf,Duran Duran、,朋克、,,英语,,
Relight My Fire,Dan Hartman、,流行-欧美流行、,抒情、动感、可爱、快乐、KTV、,英语,,
"Put Your Body In It (12"" Version)",Stephanie Mills、,节奏布鲁斯、,,英语,,
He's the Greatest Dancer,Sister Sledge、,电子-迪斯科、,快乐、爱情、浪漫、放松、KTV、酒吧、,英语,115,
Boogie Oogie Oogie,A Taste of Honey、,原声带-电影原声、,,英语,,
A Lover's Holiday,Change、,,,英语,,
Love Changes (Everything) [Love Mix],Climie Fisher、,流行、,,英语,,
Too Shy,Kajagoogoo、,流行、,,英语,,
I Ran (So Far Away),A Flock Of Seagulls、,摇滚、原声带-游戏原声、,热血、动感、放松、极限运动、,英语,145,
Doctor! Doctor!,Thompson Twins、,流行、,,英语,121,
Girls Just Want to Have Fun,Cyndi Lauper、,朋克-新浪潮、,热血、动感、幸福、快乐、活力、放松、KTV、婚礼、正能量、,英语,120,
Destination Unknown (Remastered),Missing Persons、,摇滚、另类/独立、朋克、,动感、活力、,英语,,
Video Killed The Radio Star,The Buggles、,摇滚、原声带、流行、,热血、动感、放松、旅游、,英语,132,
Since Yesterday,Strawberry Switchblade、,电子-合成器流行、,动感、活力、,英语,,
I Only Want To Be With You,The Tourists、,摇滚、,,英语,,
Heart Of Glass (Remix),Blondie、,摇滚、朋克、,热血、动感、快乐、旅游、,英语,115,
Atomic,Blondie、,摇滚、朋克、,热血、动感、,英语,139,
Wishing Well,Terence Trent D'Arby、,节奏布鲁斯、,,英语,,
That's The Way I Like It (Original Single Version),KC And The Sunshine Band、,电子-电子舞曲、,KTV、动感、快乐、,英语,,
She Can't Love You,Chemise、,,,纯音乐,,
"Robert Palmer , I Didn't Mean to Turn You On.",Robert Palmer、,,,英语,,
Mistaken Identity,Kim Carnes、,流行、,,英语,,
Shouldn't Have to Be Like That,Fra Lippo Lippi、,流行、朋克、,动感、快乐、活力、放松、轻快、正能量、,英语,114,
When Smokey Sings,ABC、,电子-电子流行、,,英语,127,
I Should Be So Lucky,Kylie Minogue、,流行-欧美流行、,动感、可爱、快乐、,英语,,
Sunday Girl,Debbie Harry、,流行、,,英语,,
Lost In Music,Sister Sledge、,电子-迪斯科、,,英语,,
Get Down Saturday Night,Oliver Cheatham、,,正能量、,英语,,
"Shame, Shame, Shame",Linda Fields & The Funky Boys、,电子-迪斯科、,,,,
Inside Out,Odyssey、,,,英语,,
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA、,电子-迪斯科、,动感、快乐、爱情、浪漫、,英语,118,
Una storia importante (Remix),Eros Ramazzotti、,流行、,,意大利语,,
Footloose,Kenny Loggins、,摇滚-经典摇滚、,热血、动感、,英语,177,
Rebel Yell,Billy Idol、,摇滚、,热血、动感、KTV、,英语,83,
Love Me Only,Narada Michael Walden、,,,欧美,,
Play That Funky Music,Wild Cherry、,摇滚、节奏布鲁斯-灵魂乐、节奏布鲁斯-放克、,动感、快乐、活力、,英语,109,
Love Will Keep Us Together,Captain、Tennille、,,,,,
One Night In Bangkok,Murray Head、,电子-合成器流行、,动感、活力、,英语,,
"The Sun Goes Down (Living It Up) (7"" Mix)",Level 42、,流行、,,英语,,
Japanese Boy (An Endless Music Mix),Aneka、,原声带-电影原声、,动感、活力、,英语,,
(Are You Ready) Do The Bus Stop,The Fatback Band、,节奏布鲁斯-放克、,热血、动感、,英语,,
Don't Tell Me That It's Over,Four Tops、,,,,,
I Wanna Dance with Somebody (Single Version),Whitney Houston、,节奏布鲁斯、电子、流行-欧美流行、,动感、快乐、活力、KTV、,英语,59,
Can't Fake The Feeling,Geraldine Hunt、,电子-浩室舞曲、电子-迪斯科、,,英语,,
Yeh Yeh,Matt Bianco、,,,,,
Week-End a Rome,Étienne Daho、,,,,,
Razzamatazz,Quincy Jones、,节奏布鲁斯、流行、,,,,
Super Freak,Rick James、,节奏布鲁斯-放克、,动感、活力、散步、,英语,132,
You Make Me Feel (Mighty Real),Sylvester、,电子、,,英语,,
And Love Goes On,"Earth, Wind & Fire、",节奏布鲁斯-放克、,,,,
Notorious,Duran Duran、,流行、朋克、,动感、快乐、活力、,英语,107,
Flashback,Imagination、,电子-迪斯科、,可爱、快乐、爱情、浪漫、,英语,111,
Walking Into Sunshine (Edit),Central Line、,节奏布鲁斯、,,欧美,,
Safety Dance,Men Without Hats、,摇滚、,动感、活力、,英语,,
Funky Men,James Brown、,爵士、节奏布鲁斯-灵魂乐、,KTV、,英语,123,
Harden My Heart,Quarterflash、,摇滚、,抒情、动感、活力、,英语,,
Another Brick in the Wall (Pt. 2),Pink Floyd、,摇滚、,热血、动感、,英语,,
Nightshift,Commodores、,电子-迪斯科、,,英语,,
Don't Look Any Further,Dennis Edwards、Dennis Lambert、Franne Golde、Duane S. Hitchings、,节奏布鲁斯、,,欧美,,
Keep On Dancing,Gary's Gang、,流行、,,,,
Blame It On The Boogie,The Jacksons、,流行、,,英语,,
Another One Bites the Dust,Queen、,摇滚、流行、,动感、活力、,英语,109,
Lady Night,Patrick Juvet、,流行、,,英语,,
Sweet Freedom (Single Version),Michael McDonald、,,,,,
Mr. Blue Sky,Electric Light Orchestra、,摇滚、,热血、抒情、动感、快乐、,英语,178,
Shout,Tears for Fears、,摇滚-流行摇滚、流行-成⼈时代、,热血、动感、放松、,英语,,
Yah Mo B There,James Ingram、,节奏布鲁斯-放克、流行、,,英语,,
Reach Out,George Duke、,爵士、,动感、快乐、爱情、浪漫、,英语,113,
Rock The Boat,Hues Corporation、,电子-迪斯科、,,英语,107,
脱・借りてきた猫症候群,Uru、,流行-日本流行、,可爱、快乐、放松、KTV、,日语,101,
勇者,YOASOBI、,二次元-动漫主题曲、,可爱、快乐、动感、热血、轻快、,日语,103,
Biri-Biri,YOASOBI、,二次元、流行-日本流行、,可爱、快乐、,日语,171,
我要你 (Live版),毛不易、单依纯、,原声带-综艺原声、,抒情、,国语,63,
Cupid,FIFTY FIFTY、,流行-韩国流行、,甜蜜、抒情、清新、动感、幸福、梦幻、可爱、快乐、爱情、思念、慵懒、浪漫、活力、放松、憧憬、治愈、旅游、轻快、洒脱、正能量、大气、,韩语、英语,120,
帰ろう,藤井風、,流行-日本流行、,抒情、悲伤、,日语,92,
イエスタデイ,Official髭男dism、,二次元-动漫主题曲、流行、,抒情、悲伤、放松、治愈、,日语,129,
カメレオン,King Gnu、,另类/独立、流行-日本流行、,抒情、动感、活力、放松、,日语,79,
How Far I'll Go,Alessia Cara、,原声带-电影原声、流行-欧美流行、,热血、动感、快乐、轻快、正能量、,英语,89,
ただいまとおかえり,岡崎体育、木村カエラ、,二次元-动漫主题曲、流行-日本流行、,治愈、放松、,日语,124,
Mio Mao la la la la la,Francesco Misseri、,,快乐、动感、可爱、,意大利语,137,
ODDTAXI,スカート、PUNPEE、,二次元-动漫主题曲、,动感、慵懒、放松、,日语,89,
真夜中のドア～Stay With Me～,Ms.OOJA、,流行-日本流行、,抒情、可爱、快乐、爱情、思念、,日语,107,
